***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.5 alpha_2=0.5 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	8.500	0.056
BPP_new_20_1000_1.C	13	4.000	8.500	0.055
BPP_new_20_1000_1.C	13	4.000	8.500	0.057
BPP_new_20_1000_1.C	13	4.000	8.500	0.052
BPP_new_20_1000_1.C	13	4.000	8.500	0.053
BPP_new_20_1000_1.C	13	4.000	8.500	0.051
BPP_new_20_1000_1.C	13	4.000	8.500	0.053
BPP_new_20_1000_1.C	13	4.000	8.500	0.056
BPP_new_20_1000_1.C	13	4.000	8.500	0.050
BPP_new_20_1000_1.C	13	4.000	8.500	0.055
BPP_new_20_1000_10.C	9	1.000	5.000	0.037
BPP_new_20_1000_10.C	9	1.000	5.000	0.034
BPP_new_20_1000_10.C	9	1.000	5.000	0.036
BPP_new_20_1000_10.C	9	1.000	5.000	0.034
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.034
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.034
BPP_new_20_1000_10.C	9	1.000	5.000	0.035
BPP_new_20_1000_10.C	9	1.000	5.000	0.034
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.043
BPP_new_20_1000_2.C	10	3.000	6.500	0.044
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_2.C	10	3.000	6.500	0.041
BPP_new_20_1000_2.C	10	3.000	6.500	0.043
BPP_new_20_1000_2.C	10	3.000	6.500	0.044
BPP_new_20_1000_2.C	10	3.000	6.500	0.042
BPP_new_20_1000_3.C	13	5.000	9.000	0.049
BPP_new_20_1000_3.C	13	5.000	9.000	0.049
BPP_new_20_1000_3.C	13	5.000	9.000	0.050
BPP_new_20_1000_3.C	13	5.000	9.000	0.061
BPP_new_20_1000_3.C	13	5.000	9.000	0.051
BPP_new_20_1000_3.C	13	5.000	9.000	0.049
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_3.C	13	5.000	9.000	0.048
BPP_new_20_1000_4.C	8	2.400	5.200	0.038
BPP_new_20_1000_4.C	8	2.400	5.200	0.035
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.037
BPP_new_20_1000_4.C	8	2.400	5.200	0.037
BPP_new_20_1000_4.C	8	2.400	5.200	0.037
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_4.C	8	2.400	5.200	0.036
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.040
BPP_new_20_1000_5.C	10	1.400	5.700	0.040
BPP_new_20_1000_5.C	10	1.400	5.700	0.042
BPP_new_20_1000_5.C	10	1.400	5.700	0.040
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.040
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_5.C	10	1.400	5.700	0.041
BPP_new_20_1000_6.C	10	1.400	5.700	0.043
BPP_new_20_1000_6.C	10	1.400	5.700	0.045
BPP_new_20_1000_6.C	10	1.400	5.700	0.044
BPP_new_20_1000_6.C	10	1.400	5.700	0.045
BPP_new_20_1000_6.C	10	1.400	5.700	0.044
BPP_new_20_1000_6.C	10	1.400	5.700	0.041
BPP_new_20_1000_6.C	10	1.400	5.700	0.043
BPP_new_20_1000_6.C	10	1.400	5.700	0.044
BPP_new_20_1000_6.C	10	1.400	5.700	0.045
BPP_new_20_1000_6.C	10	1.400	5.700	0.045
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_7.C	10	1.000	5.500	0.039
BPP_new_20_1000_7.C	10	1.000	5.500	0.040
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.037
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_8.C	9	3.200	6.100	0.037
BPP_new_20_1000_8.C	9	3.200	6.100	0.038
BPP_new_20_1000_8.C	9	3.000	6.000	0.038
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.051
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.049
BPP_new_20_1000_9.C	13	3.000	8.000	0.050
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.800	7.400	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_1.C	11	3.600	7.300	0.004
BPP_new_20_100_10.C	9	2.400	5.700	0.004
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.004
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_10.C	9	2.400	5.700	0.003
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_2.C	13	3.000	8.000	0.005
BPP_new_20_100_2.C	13	3.000	8.000	0.004
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_3.C	8	0.200	4.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.004
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_4.C	10	2.200	6.100	0.003
BPP_new_20_100_5.C	11	2.600	6.800	0.004
BPP_new_20_100_5.C	11	2.800	6.900	0.004
BPP_new_20_100_5.C	11	2.800	6.900	0.004
BPP_new_20_100_5.C	11	2.400	6.700	0.004
BPP_new_20_100_5.C	11	2.400	6.700	0.004
BPP_new_20_100_5.C	11	2.800	6.900	0.004
BPP_new_20_100_5.C	11	2.400	6.700	0.004
BPP_new_20_100_5.C	11	2.400	6.700	0.004
BPP_new_20_100_5.C	11	2.600	6.800	0.004
BPP_new_20_100_5.C	11	2.600	6.800	0.004
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_6.C	8	1.600	4.800	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_7.C	8	0.800	4.400	0.003
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.003
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_8.C	11	3.200	7.100	0.004
BPP_new_20_100_9.C	14	3.000	8.500	0.004
