***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
BPP_new_20_50_3.C	9	3.600	6.840	0.000
BPP_new_20_50_4.C	15	4.400	10.760	0.000
BPP_new_20_50_5.C	9	2.000	6.200	0.000
BPP_new_20_50_6.C	10	3.600	7.440	0.000
BPP_new_20_50_7.C	12	3.800	8.720	0.000
BPP_new_20_50_8.C	12	1.000	7.600	0.000
BPP_new_20_50_9.C	9	3.200	6.680	0.000
BPP_new_20_750_1.C	10	2.800	7.120	0.000
BPP_new_20_750_10.C	12	6.000	9.600	0.000
BPP_new_20_750_2.C	9	1.800	6.120	0.000
BPP_new_20_750_3.C	10	1.000	6.400	0.000
BPP_new_20_750_4.C	10	2.000	6.800	0.000
BPP_new_20_750_5.C	12	4.600	9.040	0.000
BPP_new_20_750_6.C	11	1.000	7.000	0.000
BPP_new_20_750_7.C	12	2.200	8.080	0.000
BPP_new_20_750_8.C	10	1.200	6.480	0.000
BPP_new_20_750_9.C	11	3.800	8.120	0.000
BPP_new_20_75_1.C	12	2.000	8.000	0.000
BPP_new_20_75_10.C	9	5.800	7.720	0.000
BPP_new_20_75_2.C	12	3.000	8.400	0.000
BPP_new_20_75_3.C	11	3.600	8.040	0.000
BPP_new_20_75_4.C	11	4.000	8.200	0.000
BPP_new_20_75_5.C	11	6.200	9.080	0.000
BPP_new_20_75_6.C	7	2.800	5.320	0.000
BPP_new_20_75_7.C	9	2.000	6.200	0.000
BPP_new_20_75_8.C	8	3.000	6.000	0.000
BPP_new_20_75_9.C	12	5.200	9.280	0.000
HBPP_02015007_09180.C	10	1.000	6.400	0.000
HBPP_04000107_06970.C	18	4.200	12.480	0.000
HBPP_04005007_06120.C	17	3.400	11.560	0.000
HBPP_04005009_03610.C	22	4.600	15.040	0.000
HBPP_06000106_07820.C	22	3.800	14.720	0.001
HBPP_06000110_01950.C	29	4.200	19.080	0.001
HBPP_06005007_00330.C	25	3.600	16.440	0.001
HBPP_06005007_03820.C	23	2.600	14.840	0.000
HBPP_06005008_07550.C	25	4.200	16.680	0.001
HBPP_06015006_00670.C	28	4.000	18.400	0.001
HBPP_06015009_04030.C	32	5.800	21.520	0.001
HBPP_06015010_07710.C	36	4.000	23.200	0.001
HBPP_06025005_06390.C	26	6.400	18.160	0.001
HBPP_08000107_06240.C	30	6.800	20.720	0.011
HBPP_08005006_08620.C	29	6.400	19.960	0.001
HBPP_08005007_03940.C	32	6.400	21.760	0.001
HBPP_10000107_05080.C	40	7.200	26.880	0.002
HBPP_10000107_07330.C	38	4.800	24.720	0.002
HBPP_10000108_02570.C	44	7.800	29.520	0.003
HBPP_10015007_04640.C	49	6.600	32.040	0.003
HBPP_12000107_08940.C	49	7.600	32.440	0.003
HBPP_12000108_00350.C	48	4.200	30.480	0.004
HBPP_12000109_09170.C	62	6.200	39.680	0.004
HBPP_12000110_06550.C	67	8.800	43.720	0.004
HBPP_12005007_01380.C	58	8.000	38.000	0.005
HBPP_12005007_01800.C	48	6.800	31.520	0.003
HBPP_12005007_03240.C	47	5.200	30.280	0.015
HBPP_12005008_04500.C	61	9.200	40.280	0.004
HBPP_12015007_01650.C	58	7.800	37.920	0.004
HBPP_12015009_07400.C	66	10.000	43.600	0.004
HBPP_14005010_04470.C	86	13.600	57.040	0.008
HBPP_14015007_01210.C	69	8.800	44.920	0.013
HBPP_14015008_03730.C	72	9.000	46.800	0.006
HBPP_16000107_00140.C	67	15.800	46.520	0.062
HBPP_16000108_01490.C	74	14.400	50.160	0.026
HBPP_16000110_02790.C	91	18.200	61.880	0.015
HBPP_16005009_00010.C	84	14.400	56.160	0.031
HBPP_16005009_01610.C	87	13.800	57.720	0.041
HBPP_16015007_02060.C	81	12.400	53.560	0.015
HBPP_16015009_09810.C	91	15.800	60.920	0.026
HBPP_18000108_03590.C	86	11.200	56.080	0.017
HBPP_18000108_07160.C	84	11.800	55.120	0.016
HBPP_18000110_04390.C	94	9.800	60.320	0.048
HBPP_18015008_08210.C	97	19.200	65.880	0.013
HBPP_18015010_06050.C	114	13.400	73.760	0.049
HBPP_20000107_01190.C	84	8.000	53.600	0.019
HBPP_20000108_00250.C	85	15.800	57.320	0.020
