***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.4 alpha_2=0.6 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	7.600	0.000
BPP_new_20_1000_10.C	9	1.000	4.200	0.000
BPP_new_20_1000_2.C	11	3.400	6.440	0.000
BPP_new_20_1000_3.C	13	5.000	8.200	0.000
BPP_new_20_1000_4.C	8	2.400	4.640	0.000
BPP_new_20_1000_5.C	11	2.400	5.840	0.000
BPP_new_20_1000_6.C	11	2.000	5.600	0.000
BPP_new_20_1000_7.C	10	1.000	4.600	0.000
BPP_new_20_1000_8.C	11	5.000	7.400	0.000
BPP_new_20_1000_9.C	14	4.000	8.000	0.000
BPP_new_20_100_1.C	12	4.600	7.560	0.000
BPP_new_20_100_10.C	9	2.400	5.040	0.000
BPP_new_20_100_2.C	13	3.000	7.000	0.000
BPP_new_20_100_3.C	8	0.400	3.440	0.000
BPP_new_20_100_4.C	11	3.400	6.440	0.000
BPP_new_20_100_5.C	12	3.400	6.840	0.000
BPP_new_20_100_6.C	9	2.200	4.920	0.000
BPP_new_20_100_7.C	9	1.800	4.680	0.000
BPP_new_20_100_8.C	12	3.400	6.840	0.000
BPP_new_20_100_9.C	14	3.000	7.400	0.000
BPP_new_20_120_1.C	10	2.600	5.560	0.000
BPP_new_20_120_10.C	15	4.200	8.520	0.000
BPP_new_20_120_2.C	11	3.000	6.200	0.000
BPP_new_20_120_3.C	12	5.000	7.800	0.000
BPP_new_20_120_4.C	12	3.000	6.600	0.000
BPP_new_20_120_5.C	11	2.000	5.600	0.000
BPP_new_20_120_6.C	9	0.800	4.080	0.000
BPP_new_20_120_7.C	11	1.000	5.000	0.000
BPP_new_20_120_8.C	11	5.000	7.400	0.000
BPP_new_20_120_9.C	14	3.000	7.400	0.000
BPP_new_20_125_1.C	12	5.200	7.920	0.000
BPP_new_20_125_10.C	10	1.000	4.600	0.000
BPP_new_20_125_2.C	8	2.800	4.880	0.000
BPP_new_20_125_3.C	10	1.000	4.600	0.000
BPP_new_20_125_4.C	12	3.000	6.600	0.000
BPP_new_20_125_5.C	13	4.000	7.600	0.000
BPP_new_20_125_6.C	11	4.600	7.160	0.000
BPP_new_20_125_7.C	12	5.000	7.800	0.000
BPP_new_20_125_8.C	10	4.200	6.520	0.000
BPP_new_20_125_9.C	11	2.200	5.720	0.000
BPP_new_20_150_1.C	9	0.400	3.840	0.000
BPP_new_20_150_10.C	10	1.800	5.080	0.000
BPP_new_20_150_2.C	11	2.000	5.600	0.000
BPP_new_20_150_3.C	10	3.000	5.800	0.000
BPP_new_20_150_4.C	10	2.800	5.680	0.000
BPP_new_20_150_5.C	12	2.000	6.000	0.000
BPP_new_20_150_6.C	10	4.000	6.400	0.000
BPP_new_20_150_7.C	13	2.000	6.400	0.000
BPP_new_20_150_8.C	9	3.600	5.760	0.000
BPP_new_20_150_9.C	15	4.000	8.400	0.000
BPP_new_20_200_1.C	8	3.000	5.000	0.000
BPP_new_20_200_10.C	12	5.000	7.800	0.000
BPP_new_20_200_2.C	12	4.800	7.680	0.000
BPP_new_20_200_3.C	14	3.000	7.400	0.000
