***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.4 alpha_2=0.6 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	7.600	0.049
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.055
BPP_new_20_1000_1.C	13	4.000	7.600	0.054
BPP_new_20_1000_1.C	13	4.000	7.600	0.055
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.035
BPP_new_20_1000_10.C	9	1.000	4.200	0.035
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.055
BPP_new_20_1000_10.C	9	1.000	4.200	0.083
BPP_new_20_1000_10.C	9	1.000	4.200	0.073
BPP_new_20_1000_10.C	9	1.000	4.200	0.046
BPP_new_20_1000_2.C	10	3.000	5.800	0.098
BPP_new_20_1000_2.C	10	3.000	5.800	0.089
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_2.C	10	3.000	5.800	0.057
BPP_new_20_1000_2.C	10	3.000	5.800	0.049
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_2.C	11	2.600	5.960	0.085
BPP_new_20_1000_2.C	11	2.600	5.960	0.084
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_2.C	10	3.000	5.800	0.041
BPP_new_20_1000_3.C	13	5.000	8.200	0.102
BPP_new_20_1000_3.C	13	5.000	8.200	0.105
BPP_new_20_1000_3.C	13	5.000	8.200	0.102
BPP_new_20_1000_3.C	13	5.000	8.200	0.112
BPP_new_20_1000_3.C	13	5.000	8.200	0.111
BPP_new_20_1000_3.C	13	5.000	8.200	0.100
BPP_new_20_1000_3.C	13	5.000	8.200	0.102
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_4.C	8	2.400	4.640	0.076
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_4.C	8	2.600	4.760	0.076
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_4.C	8	2.400	4.640	0.074
BPP_new_20_1000_4.C	8	2.400	4.640	0.086
BPP_new_20_1000_4.C	8	2.400	4.640	0.079
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_4.C	8	2.600	4.760	0.075
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_5.C	10	1.400	4.840	0.093
BPP_new_20_1000_5.C	10	1.400	4.840	0.089
BPP_new_20_1000_5.C	10	1.400	4.840	0.085
BPP_new_20_1000_5.C	10	1.400	4.840	0.100
BPP_new_20_1000_5.C	10	1.400	4.840	0.088
BPP_new_20_1000_5.C	10	1.400	4.840	0.088
BPP_new_20_1000_5.C	10	1.400	4.840	0.097
BPP_new_20_1000_5.C	10	1.400	4.840	0.090
BPP_new_20_1000_5.C	10	1.400	4.840	0.091
BPP_new_20_1000_5.C	10	1.400	4.840	0.086
BPP_new_20_1000_6.C	10	1.400	4.840	0.095
BPP_new_20_1000_6.C	10	1.400	4.840	0.089
BPP_new_20_1000_6.C	10	1.400	4.840	0.093
BPP_new_20_1000_6.C	10	1.400	4.840	0.089
BPP_new_20_1000_6.C	10	1.400	4.840	0.101
BPP_new_20_1000_6.C	10	1.400	4.840	0.090
BPP_new_20_1000_6.C	10	1.400	4.840	0.089
BPP_new_20_1000_6.C	10	1.400	4.840	0.088
BPP_new_20_1000_6.C	10	1.400	4.840	0.092
BPP_new_20_1000_6.C	10	1.400	4.840	0.092
BPP_new_20_1000_7.C	10	1.000	4.600	0.094
BPP_new_20_1000_7.C	10	1.000	4.600	0.086
BPP_new_20_1000_7.C	10	1.000	4.600	0.088
BPP_new_20_1000_7.C	10	1.000	4.600	0.043
BPP_new_20_1000_7.C	10	1.000	4.600	0.083
BPP_new_20_1000_7.C	10	1.000	4.600	0.087
BPP_new_20_1000_7.C	10	1.000	4.600	0.086
BPP_new_20_1000_7.C	10	1.000	4.600	0.084
BPP_new_20_1000_7.C	10	1.000	4.600	0.094
BPP_new_20_1000_7.C	10	1.000	4.600	0.090
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.600	5.760	0.037
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.000	5.400	0.039
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.000	5.400	0.037
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_8.C	9	3.000	5.400	0.038
BPP_new_20_1000_9.C	13	3.000	7.000	0.050
BPP_new_20_1000_9.C	13	3.000	7.000	0.049
BPP_new_20_1000_9.C	13	3.000	7.000	0.050
