***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.4 alpha_2=0.6 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.049
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_1.C	13	4.000	7.600	0.051
BPP_new_20_1000_1.C	13	4.000	7.600	0.050
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_10.C	9	1.000	4.200	0.034
BPP_new_20_1000_2.C	10	3.000	5.800	0.048
BPP_new_20_1000_2.C	10	3.000	5.800	0.103
BPP_new_20_1000_2.C	10	3.000	5.800	0.088
BPP_new_20_1000_2.C	11	2.600	5.960	0.096
BPP_new_20_1000_2.C	10	3.000	5.800	0.079
BPP_new_20_1000_2.C	10	3.000	5.800	0.084
BPP_new_20_1000_2.C	10	3.000	5.800	0.086
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_2.C	10	3.000	5.800	0.085
BPP_new_20_1000_3.C	13	5.000	8.200	0.105
BPP_new_20_1000_3.C	13	5.000	8.200	0.102
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_3.C	13	5.000	8.200	0.103
BPP_new_20_1000_3.C	13	5.000	8.200	0.101
BPP_new_20_1000_3.C	13	5.000	8.200	0.105
BPP_new_20_1000_3.C	13	5.000	8.200	0.102
BPP_new_20_1000_3.C	13	5.000	8.200	0.107
BPP_new_20_1000_3.C	13	5.000	8.200	0.107
BPP_new_20_1000_4.C	8	2.400	4.640	0.045
BPP_new_20_1000_4.C	8	2.400	4.640	0.089
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_4.C	8	2.400	4.640	0.075
BPP_new_20_1000_4.C	8	2.400	4.640	0.076
BPP_new_20_1000_4.C	8	2.400	4.640	0.081
BPP_new_20_1000_4.C	8	2.400	4.640	0.084
BPP_new_20_1000_4.C	8	2.600	4.760	0.078
BPP_new_20_1000_4.C	8	2.400	4.640	0.074
BPP_new_20_1000_4.C	8	2.400	4.640	0.078
BPP_new_20_1000_5.C	10	1.400	4.840	0.086
BPP_new_20_1000_5.C	10	1.400	4.840	0.088
BPP_new_20_1000_5.C	10	1.400	4.840	0.087
BPP_new_20_1000_5.C	10	1.400	4.840	0.087
BPP_new_20_1000_5.C	10	1.400	4.840	0.087
BPP_new_20_1000_5.C	10	1.400	4.840	0.086
BPP_new_20_1000_5.C	10	1.400	4.840	0.086
BPP_new_20_1000_5.C	10	1.400	4.840	0.086
BPP_new_20_1000_5.C	10	1.400	4.840	0.087
BPP_new_20_1000_5.C	10	1.400	4.840	0.088
BPP_new_20_1000_6.C	10	1.400	4.840	0.057
BPP_new_20_1000_6.C	10	1.400	4.840	0.091
BPP_new_20_1000_6.C	10	1.400	4.840	0.097
BPP_new_20_1000_6.C	10	1.400	4.840	0.089
BPP_new_20_1000_6.C	10	1.400	4.840	0.089
BPP_new_20_1000_6.C	10	1.400	4.840	0.091
BPP_new_20_1000_6.C	10	1.400	4.840	0.090
BPP_new_20_1000_6.C	10	1.400	4.840	0.087
BPP_new_20_1000_6.C	10	1.400	4.840	0.093
BPP_new_20_1000_6.C	10	1.400	4.840	0.087
BPP_new_20_1000_7.C	10	1.000	4.600	0.087
BPP_new_20_1000_7.C	10	1.000	4.600	0.053
BPP_new_20_1000_7.C	10	1.000	4.600	0.085
