***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.4 alpha_2=0.6 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_1.C	13	4.000	7.600	0.011
BPP_new_20_1000_10.C	9	1.000	4.200	0.016
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.016
BPP_new_20_1000_10.C	9	1.000	4.200	0.018
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_10.C	9	1.000	4.200	0.017
BPP_new_20_1000_2.C	11	2.800	6.080	0.021
BPP_new_20_1000_2.C	11	3.200	6.320	0.018
BPP_new_20_1000_2.C	11	3.000	6.200	0.019
BPP_new_20_1000_2.C	11	2.800	6.080	0.020
BPP_new_20_1000_2.C	10	3.800	6.280	0.019
BPP_new_20_1000_2.C	11	2.800	6.080	0.021
BPP_new_20_1000_2.C	11	3.200	6.320	0.012
BPP_new_20_1000_2.C	10	3.800	6.280	0.022
BPP_new_20_1000_2.C	11	2.800	6.080	0.019
BPP_new_20_1000_2.C	11	2.800	6.080	0.022
BPP_new_20_1000_3.C	13	5.000	8.200	0.021
BPP_new_20_1000_3.C	13	5.000	8.200	0.021
BPP_new_20_1000_3.C	13	5.000	8.200	0.020
BPP_new_20_1000_3.C	13	5.000	8.200	0.022
BPP_new_20_1000_3.C	13	5.000	8.200	0.019
BPP_new_20_1000_3.C	13	5.000	8.200	0.035
BPP_new_20_1000_3.C	13	5.000	8.200	0.020
BPP_new_20_1000_3.C	13	5.000	8.200	0.021
BPP_new_20_1000_3.C	13	5.000	8.200	0.021
BPP_new_20_1000_3.C	13	5.000	8.200	0.020
BPP_new_20_1000_4.C	8	2.400	4.640	0.016
BPP_new_20_1000_4.C	8	2.400	4.640	0.018
BPP_new_20_1000_4.C	8	2.400	4.640	0.012
BPP_new_20_1000_4.C	8	2.400	4.640	0.016
BPP_new_20_1000_4.C	8	2.400	4.640	0.012
BPP_new_20_1000_4.C	8	2.400	4.640	0.016
BPP_new_20_1000_4.C	8	2.400	4.640	0.016
BPP_new_20_1000_4.C	8	2.400	4.640	0.019
BPP_new_20_1000_4.C	8	2.400	4.640	0.016
BPP_new_20_1000_4.C	8	2.400	4.640	0.018
BPP_new_20_1000_5.C	10	1.800	5.080	0.018
BPP_new_20_1000_5.C	10	1.800	5.080	0.018
BPP_new_20_1000_5.C	10	1.600	4.960	0.019
BPP_new_20_1000_5.C	10	1.600	4.960	0.020
BPP_new_20_1000_5.C	10	2.000	5.200	0.019
BPP_new_20_1000_5.C	10	1.800	5.080	0.019
BPP_new_20_1000_5.C	10	1.400	4.840	0.018
BPP_new_20_1000_5.C	10	1.400	4.840	0.021
BPP_new_20_1000_5.C	10	1.600	4.960	0.018
BPP_new_20_1000_5.C	10	1.800	5.080	0.018
BPP_new_20_1000_6.C	11	1.800	5.480	0.017
BPP_new_20_1000_6.C	10	1.400	4.840	0.018
BPP_new_20_1000_6.C	10	1.600	4.960	0.019
BPP_new_20_1000_6.C	10	1.600	4.960	0.010
