***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.2 alpha_2=0.8 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	5.800	0.054
BPP_new_20_1000_1.C	13	4.000	5.800	0.051
BPP_new_20_1000_1.C	13	4.000	5.800	0.051
BPP_new_20_1000_1.C	13	4.000	5.800	0.051
BPP_new_20_1000_1.C	13	4.000	5.800	0.051
BPP_new_20_1000_1.C	13	4.000	5.800	0.055
BPP_new_20_1000_1.C	13	4.000	5.800	0.054
BPP_new_20_1000_1.C	13	4.000	5.800	0.057
BPP_new_20_1000_1.C	13	4.000	5.800	0.053
BPP_new_20_1000_1.C	13	4.000	5.800	0.052
BPP_new_20_1000_10.C	9	1.000	2.600	0.035
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_10.C	9	1.000	2.600	0.034
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.041
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_2.C	11	2.600	4.280	0.040
BPP_new_20_1000_3.C	13	5.000	6.600	0.049
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.049
BPP_new_20_1000_3.C	13	5.000	6.600	0.049
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_3.C	13	5.000	6.600	0.048
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_4.C	8	2.400	3.520	0.036
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_4.C	8	2.400	3.520	0.036
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_4.C	8	2.400	3.520	0.036
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_4.C	8	2.400	3.520	0.036
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_4.C	8	2.400	3.520	0.035
BPP_new_20_1000_5.C	10	1.400	3.120	0.041
BPP_new_20_1000_5.C	10	1.400	3.120	0.041
BPP_new_20_1000_5.C	10	1.400	3.120	0.040
BPP_new_20_1000_5.C	10	1.400	3.120	0.042
BPP_new_20_1000_5.C	10	1.400	3.120	0.041
BPP_new_20_1000_5.C	10	1.400	3.120	0.040
BPP_new_20_1000_5.C	10	1.400	3.120	0.040
BPP_new_20_1000_5.C	10	1.400	3.120	0.042
BPP_new_20_1000_5.C	10	1.400	3.120	0.041
BPP_new_20_1000_5.C	10	1.400	3.120	0.040
BPP_new_20_1000_6.C	10	1.400	3.120	0.041
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.041
BPP_new_20_1000_6.C	10	1.400	3.120	0.041
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_6.C	10	1.400	3.120	0.042
BPP_new_20_1000_7.C	10	1.000	2.800	0.040
BPP_new_20_1000_7.C	10	1.000	2.800	0.039
BPP_new_20_1000_7.C	10	1.000	2.800	0.041
BPP_new_20_1000_7.C	10	1.000	2.800	0.040
BPP_new_20_1000_7.C	10	1.000	2.800	0.042
BPP_new_20_1000_7.C	10	1.000	2.800	0.040
BPP_new_20_1000_7.C	10	1.000	2.800	0.040
BPP_new_20_1000_7.C	10	1.000	2.800	0.039
BPP_new_20_1000_7.C	10	1.000	2.800	0.039
BPP_new_20_1000_7.C	10	1.000	2.800	0.038
BPP_new_20_1000_8.C	9	3.000	4.200	0.038
BPP_new_20_1000_8.C	9	3.000	4.200	0.038
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_8.C	9	3.000	4.200	0.036
BPP_new_20_1000_8.C	9	3.000	4.200	0.037
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.050
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.050
BPP_new_20_1000_9.C	13	3.000	5.000	0.050
BPP_new_20_1000_9.C	13	3.000	5.000	0.049
BPP_new_20_1000_9.C	13	3.000	5.000	0.050
BPP_new_20_100_1.C	11	3.600	5.080	0.004
BPP_new_20_100_1.C	11	3.600	5.080	0.004
BPP_new_20_100_1.C	11	3.600	5.080	0.004
BPP_new_20_100_1.C	11	3.600	5.080	0.004
