***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.2 alpha_2=0.8 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	5.800	0.000
BPP_new_20_1000_10.C	9	1.000	2.600	0.000
BPP_new_20_1000_2.C	11	3.400	4.920	0.000
BPP_new_20_1000_3.C	13	5.000	6.600	0.000
BPP_new_20_1000_4.C	8	2.400	3.520	0.000
BPP_new_20_1000_5.C	11	2.400	4.120	0.000
BPP_new_20_1000_6.C	11	2.000	3.800	0.000
BPP_new_20_1000_7.C	10	1.000	2.800	0.000
BPP_new_20_1000_8.C	11	5.000	6.200	0.000
BPP_new_20_1000_9.C	14	4.000	6.000	0.000
BPP_new_20_100_1.C	12	4.600	6.080	0.000
BPP_new_20_100_10.C	9	2.400	3.720	0.000
BPP_new_20_100_2.C	13	3.000	5.000	0.000
BPP_new_20_100_3.C	8	0.400	1.920	0.000
BPP_new_20_100_4.C	11	3.400	4.920	0.000
BPP_new_20_100_5.C	12	3.400	5.120	0.000
BPP_new_20_100_6.C	9	2.000	3.400	0.000
BPP_new_20_100_7.C	9	1.800	3.240	0.000
BPP_new_20_100_8.C	12	3.400	5.120	0.000
BPP_new_20_100_9.C	14	3.000	5.200	0.000
BPP_new_20_120_1.C	10	2.600	4.080	0.000
BPP_new_20_120_10.C	15	4.200	6.360	0.000
BPP_new_20_120_2.C	11	3.000	4.600	0.000
BPP_new_20_120_3.C	12	5.000	6.400	0.000
BPP_new_20_120_4.C	12	3.000	4.800	0.000
BPP_new_20_120_5.C	11	2.000	3.800	0.000
BPP_new_20_120_6.C	9	0.800	2.440	0.000
BPP_new_20_120_7.C	11	1.000	3.000	0.000
BPP_new_20_120_8.C	11	5.000	6.200	0.000
BPP_new_20_120_9.C	14	3.000	5.200	0.000
BPP_new_20_125_1.C	12	5.200	6.560	0.000
BPP_new_20_125_10.C	10	1.000	2.800	0.000
BPP_new_20_125_2.C	8	2.800	3.840	0.000
BPP_new_20_125_3.C	10	1.000	2.800	0.000
BPP_new_20_125_4.C	12	3.000	4.800	0.000
