***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.2 alpha_2=0.8 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
-------------------------------------------------------------------------------------------------------------------------------------------------
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_1.C	13	4.000	5.800	0.010
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_1.C	13	4.000	5.800	0.010
BPP_new_20_1000_1.C	13	4.000	5.800	0.010
BPP_new_20_1000_1.C	13	4.000	5.800	0.010
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_1.C	13	4.000	5.800	0.011
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.010
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_10.C	9	1.000	2.600	0.009
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	3.200	4.760	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	3.200	4.760	0.011
BPP_new_20_1000_2.C	11	2.600	4.280	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_2.C	11	2.800	4.440	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
BPP_new_20_1000_3.C	13	5.000	6.600	0.011
